Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
119,Polymer Science & Engineering,Bachelors,86100,125800,-
120,International Management,Bachelors,67500,125700,-
121,Applied Economics,Bachelors,71900,125600,41%
121,Construction Science,Bachelors,79800,125600,69%
121,Economics & Political Science,Bachelors,66100,125600,49%
124,Political Communication,Bachelors,59300,125500,52%
125,Aeronautical Science,Bachelors,64900,125300,64%
125,Control Engineering,Bachelors,80000,125300,61%
127,Russian Studies,Bachelors,57900,125200,40%
128,Business Economics,Bachelors,68600,125100,45%
129,Civil & Environmental Engineering,Bachelors,75900,124900,65%
130,Business Computer Information Systems (BCIS),Bachelors,76500,124500,38%
131,Cybersecurity,Bachelors,74800,124400,56%
132,Engineering Management,Bachelors,79400,124200,50%
132,Information Systems (IS),Bachelors,75300,124200,45%
132,Manufacturing Engineering,Bachelors,79800,124200,50%
132,Real Estate,Bachelors,71400,124200,43%
136,Building Construction Management,Bachelors,73600,124100,68%
137,Plastics Engineering Technology,Bachelors,75000,124000,30%
138,International Marketing,Bachelors,67500,123700,21%
139,Aviation,Bachelors,67500,123000,54%
139,Biosystems Engineering,Bachelors,74800,123000,70%
141,Data Processing,Bachelors,75900,122800,43%
141,Food Marketing,Bachelors,67100,122800,30%
143,Computer Science & Information Technology,Bachelors,76300,122500,49%
144,Agricultural Economics,Bachelors,62400,122400,59%
144,Management & Finance,Bachelors,66100,122400,61%
144,Strategic Management,Bachelors,76400,122400,50%
147,Computer Management Information Systems (CMIS),Bachelors,65800,122300,48%
148,Organic Chemistry,Bachelors,51400,122200,-
149,Finance,Bachelors,70800,122000,42%
150,Financial Planning,Bachelors,63300,121900,59%
151,Web Development,Bachelors,64600,121700,41%
152,European Studies,Bachelors,62700,121600,42%
153,Construction Engineering,Bachelors,78300,121300,61%
154,International Relations,Bachelors,62900,121200,49%
155,Molecular Biology,Bachelors,64300,121100,67%
155,International Business,Bachelors,65100,121100,40%
157,Computer Information Systems (CIS),Bachelors,71700,121000,48%
158,Information Security,Bachelors,76400,120700,40%
158,Japanese Language,Bachelors,62100,120700,39%
160,East Asian Studies,Bachelors,60100,120400,50%
161,Economics & Management,Bachelors,62800,120100,-
162,European History,Bachelors,62700,120000,39%
163,Agricultural Engineering (AE),Bachelors,73500,119900,60%
164,Architectural Engineering,Bachelors,76400,119800,58%
164,Entrepreneurship & Leadership,Bachelors,67000,119800,42%
164,Computing,Bachelors,73400,119800,56%
167,Information Technology Management,Bachelors,74100,119700,50%
168,Electrical Engineering Technology (EET),Bachelors,76100,119600,49%
169,Chinese Language,Bachelors,62700,119500,42%
170,Business Finance,Bachelors,67100,119400,44%
171,Sales & Business Marketing,Bachelors,67000,119300,53%
172,Safety Science,Bachelors,72600,119200,67%
173,Corporate Finance,Bachelors,74500,119100,40%
174,Industrial Distribution,Bachelors,73600,118900,48%
175,Computer Engineering Technology (CET),Bachelors,72900,118800,44%
176,Dairy Science,Bachelors,60100,118300,68%
177,Japanese Studies,Bachelors,59700,118100,18%
178,Network Engineering,Bachelors,71500,118000,51%
179,Environmental Engineering,Bachelors,72600,117700,61%
180,Accounting & Taxation,Bachelors,60000,117500,-
181,Robotics,Bachelors,91100,117400,57%
182,Biotechnology,Bachelors,63000,116900,61%
183,Accounting & Finance,Bachelors,69100,116700,46%
184,Mechanical Engineering Technology (MET),Bachelors,74200,116500,49%
185,Operations Management (OM),Bachelors,72100,116200,44%
186,Food Science & Technology,Bachelors,61700,116100,49%
187,Agricultural Economics & Business,Bachelors,63700,115800,56%
188,Biochemistry (BCH),Bachelors,58900,115600,64%
188,Computer Networking Systems,Bachelors,67100,115600,49%
188,Product Design,Bachelors,72100,115600,38%
191,Mechanical Design,Bachelors,70000,115500,50%
192,Labor Relations,Bachelors,59500,115300,42%
192,Information Assurance,Bachelors,63500,115300,60%
194,Business Operations,Bachelors,64600,115100,-
195,Environmental Policy Analysis & Planning,Bachelors,60800,114900,68%
196,Information Technology (IT),Bachelors,69800,114800,47%
196,International Development Studies,Bachelors,57200,114800,62%
198,Rhetoric,Bachelors,60300,114700,42%
199,Aviation Management,Bachelors,58900,114600,58%
199,Consumer Economics,Bachelors,62400,114600,45%
201,Electromechanical Engineering,Bachelors,82400,114500,62%
201,Informatics,Bachelors,81600,114500,45%
203,Computer Security,Bachelors,78500,114100,40%
203,Software Applications & Programming,Bachelors,73700,114100,33%
203,Business & Marketing,Bachelors,61400,114100,47%
206,Social Ecology,Bachelors,56200,114000,-
207,Accounting & Auditing,Bachelors,67600,113900,42%
207,Database Management,Bachelors,78600,113900,-
207,Industrial Management,Bachelors,67800,113900,51%
210,Politics,Bachelors,61300,113800,50%
