Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
542,Adult Education & Training,Bachelors,58000,85800,78%
542,Health Care Management,Bachelors,53000,85800,74%
542,Medical Laboratory Technology,Bachelors,66700,85800,83%
546,Multimedia & Web Design,Bachelors,57600,85700,31%
546,Psychology,Bachelors,52800,85700,57%
548,Visual Communications,Bachelors,52800,85600,34%
549,Emergency Management,Bachelors,58900,85500,76%
550,Natural Resource Management,Bachelors,54600,85300,53%
550,Hotel & Restaurant Management,Bachelors,56400,85300,49%
552,Anthropology,Bachelors,55200,85200,46%
552,Diagnostic Medical Imaging,Bachelors,70300,85200,74%
554,Middle Eastern Studies,Bachelors,67900,85100,46%
554,Painting & Printmaking,Bachelors,40500,85100,44%
556,Criminology,Bachelors,52200,85000,54%
556,New Media,Bachelors,53100,85000,37%
558,Psychology & Social Behavior,Bachelors,53300,84900,59%
559,Art & Design,Bachelors,53200,84700,39%
560,Ecology,Bachelors,54700,84500,58%
560,Interior Design,Bachelors,53200,84500,51%
560,Multidisciplinary Studies,Bachelors,51500,84500,53%
560,Hospitality Management,Bachelors,55400,84500,43%
564,Music,Bachelors,52700,84400,55%
565,Health Sciences,Bachelors,52300,84300,70%
565,Sociology,Bachelors,54700,84300,55%
567,Physical Anthropology,Bachelors,57600,84100,-
568,Cardiopulmonary Science,Bachelors,58200,84000,92%
569,Archaeology,Bachelors,52700,83900,46%
569,Life Sciences,Bachelors,61100,83900,62%
569,SocialStudies,Bachelors,54200,83900,57%
572,Communication Arts,Bachelors,49600,83800,40%
573,Health Information Management,Bachelors,57200,83700,68%
573,Kinesiology,Bachelors,52600,83700,66%
573,Clinical Laboratory Science,Bachelors,63400,83700,82%
576,Spanish Language Teacher Education,Bachelors,56700,83600,-
577,Child Psychology,Bachelors,50500,83500,61%
577,Exercise Physiology,Bachelors,50600,83500,74%
577,Respiratory Care,Bachelors,63700,83500,85%
580,Art Therapy,Bachelors,47500,83400,83%
580,Medical Laboratory Science,Bachelors,64900,83400,86%
580,Secondary Education,Bachelors,52100,83400,59%
580,Theater,Bachelors,52800,83400,48%
584,Hospital Administration,Bachelors,60100,83300,51%
584,Practical Nursing,Bachelors,72100,83300,80%
586,Health,Bachelors,51000,83200,70%
586,Health Care Administration,Bachelors,53400,83200,68%
588,Mass Media,Bachelors,47100,82900,46%
589,Sustainability,Bachelors,56100,82700,58%
590,Radiography,Bachelors,64700,82600,82%
591,Media Communication,Bachelors,55000,82500,45%
592,Applied Behavior Analysis,Bachelors,44700,82400,88%
592,Biological Anthropology,Bachelors,54900,82400,47%
592,Hotel & Restaurant Tourism,Bachelors,50200,82400,-
592,Respiratory Therapy,Bachelors,63800,82400,84%
596,Radio & Television,Bachelors,50100,82100,39%
597,Recreation Management,Bachelors,50300,81900,60%
598,Humanities,Bachelors,58100,81800,55%
599,Computer Art,Bachelors,45400,81600,37%
600,Communications Technology,Bachelors,54100,81500,32%
600,Psychiatry,Bachelors,65900,81500,-
602,Commercial Photography,Bachelors,50400,81300,26%
603,Fashion Design & Marketing,Bachelors,55300,81200,50%
603,Interdisciplinary Studies (IS),Bachelors,52200,81200,56%
603,Web Design,Bachelors,55500,81200,29%
606,Legal Studies,Bachelors,55000,81100,52%
606,Nutrition & Dietetics,Bachelors,59000,81100,71%
608,Plant Sciences,Bachelors,57400,80900,56%
609,Graphic Design,Bachelors,52900,80800,38%
609,Fine Arts,Bachelors,50400,80800,45%
611,Liberal Studies,Bachelors,52800,80700,55%
611,Modern Languages,Bachelors,58900,80700,54%
613,Religion,Bachelors,51900,80600,56%
614,Medical Technology,Bachelors,62800,80500,84%
615,Dietetics,Bachelors,59700,80300,73%
615,Health Administration,Bachelors,49500,80300,65%
615,Missions,Bachelors,46700,80300,-
618,Applied Sociology,Bachelors,48900,80100,59%
619,Criminal Justice,Bachelors,50000,80000,56%
620,Ornamental Horticulture,Bachelors,47400,79800,67%
620,Physical Geography,Bachelors,56100,79800,58%
622,Landscape Management,Bachelors,61100,79600,-
622,Ministry,Bachelors,42700,79600,79%
622,Public Health (PH),Bachelors,54000,79600,70%
625,Speech-Language Pathology,Bachelors,51400,79400,68%
626,Drawing,Bachelors,44300,79300,36%
627,Health & Fitness,Bachelors,45300,79200,71%
628,Forensic Psychology,Bachelors,49700,79100,57%
628,Pastoral Studies,Bachelors,60800,79100,-
630,Culture Studies,Bachelors,53500,79000,55%
631,Foods & Nutrition,Bachelors,54500,78900,67%
631,Women's Studies,Bachelors,52500,78900,60%
631,Forensic Accounting,Bachelors,56200,78900,48%
634,Animal Science,Bachelors,48300,78800,66%
635,Performing Arts,Bachelors,52900,78600,57%
636,Education,Bachelors,52200,78500,65%
637,African American & African Studies,Bachelors,55900,78400,60%
638,Hospitality & Tourism,Bachelors,53200,78200,41%
638,Modern Language Spanish,Bachelors,52400,78200,65%
640,Arts & Science,Bachelors,53300,77900,-
641,Nutrition Science,Bachelors,57800,77800,69%
642,Speech Pathology & Audiology,Bachelors,53100,77700,78%
643,Media Production,Bachelors,50800,77600,36%
643,Small Business Management,Bachelors,54000,77600,36%
645,Painting,Bachelors,48500,77500,45%
645,Social Science Teacher Education,Bachelors,53100,77500,-
645,Network Technology,Bachelors,64100,77500,66%
648,Psychology & Sociology,Bachelors,50700,77400,54%
649,Music Composition,Bachelors,51200,77300,53%
649,Video Production,Bachelors,48900,77300,33%
651,Dramatic Art,Bachelors,50000,76700,-
652,Mortuary Science,Bachelors,49100,76600,80%
652,Technical Theatre,Bachelors,48000,76600,42%
654,Family & Consumer Science,Bachelors,51300,76500,61%
654,Radio Broadcasting,Bachelors,53100,76500,41%
654,Theology,Bachelors,51800,76500,67%
657,Health Studies,Bachelors,50900,76400,64%
658,Consumer Affairs,Bachelors,59500,76200,44%
659,Vocal Performance,Bachelors,49900,76100,63%
660,Art,Bachelors,51000,76000,46%
661,Behavioral Science,Bachelors,50800,75900,61%
661,Health Services Administration,Bachelors,50100,75900,64%
663,General Studies,Bachelors,51300,75800,54%
663,Photography,Bachelors,51300,75800,39%
665,Exercise & Sports Science,Bachelors,49500,75700,70%
665,Forensic Science,Bachelors,53600,75700,62%
665,History Teacher Education,Bachelors,53000,75700,48%
668,International Trade,Bachelors,55700,75600,44%
669,Restaurant & Food Service Management,Bachelors,50600,75500,40%
670,Health & Physical Education Teaching,Bachelors,46600,75300,63%
671,Justice Studies,Bachelors,53800,75200,50%
672,Tourism & Travel,Bachelors,46700,75100,38%
673,Culinary Arts,Bachelors,47800,74900,56%
673,Physical Education Teaching,Bachelors,49700,74900,69%
675,Physical Therapist Assistant Studies,Bachelors,56800,74800,-
676,Graphic Arts,Bachelors,49800,74600,45%
677,Interior Design & Merchandising,Bachelors,51700,74300,43%
677,Supervision & Management,Bachelors,49500,74300,60%
679,Event Management,Bachelors,49800,74100,41%
679,Health & Wellness,Bachelors,46800,74100,69%
679,Music Industry,Bachelors,54500,74100,37%
682,Clinical Psychology,Bachelors,49300,74000,66%
682,Recreation Administration,Bachelors,55500,74000,64%
684,Health & Exercise Science,Bachelors,48300,73900,66%
684,Physical Education & Exercise Science,Bachelors,52600,73900,71%
686,Recreation & Leisure Studies,Bachelors,48400,73800,60%
687,Ceramics,Bachelors,51100,73700,46%
687,Culinary Arts & Food Service Management,Bachelors,49800,73700,47%
689,Secondary English Teacher Education,Bachelors,51700,73600,62%
690,Family & Community Services,Bachelors,49700,73500,75%
691,Instrumental Music Teacher Education,Bachelors,51100,73200,69%
692,Health Services Management,Bachelors,48900,73100,87%
693,Exercise Science,Bachelors,48900,72900,72%
693,English Teacher Education,Bachelors,50300,72900,58%
693,Paralegal Studies,Bachelors,47300,72900,49%
696,Audio Production,Bachelors,51300,72600,44%
697,Community Health,Bachelors,54300,72400,72%
697,Photojournalism,Bachelors,48200,72400,55%
699,Fashion & Retail Management,Bachelors,57300,72300,31%
700,Dance,Bachelors,51800,72000,60%
701,Conservation Biology,Bachelors,49400,71600,53%
702,Parks & Recreation Management,Bachelors,49700,71500,60%
703,Deaf Studies,Bachelors,43300,71300,-
703,Music Teacher Education,Bachelors,49600,71300,58%
703,Tourism Management,Bachelors,51400,71300,39%
706,Teaching English as a Second Language (ESL),Bachelors,49900,70900,65%
707,Organizational Administration,Bachelors,52600,70700,-
708,Wildlife Biology,Bachelors,50200,70400,57%
709,Educational Studies (ED),Bachelors,46900,70300,66%
709,Elementary Special Education,Bachelors,52500,70300,82%
711,Horticulture,Bachelors,49900,70100,56%
712,Gender Studies,Bachelors,52700,70000,54%
712,Landscape Design,Bachelors,57900,70000,70%
712,Wildlife Management,Bachelors,45800,70000,46%
715,Community Development,Bachelors,53000,69600,70%
715,Emergency Medical Services (EMS),Bachelors,48100,69600,-
717,Biblical Studies & Practical Ministries,Bachelors,44300,69200,-
717,Community Health Education,Bachelors,50100,69200,69%
717,Recording Arts,Bachelors,53400,69200,56%
720,Health Promotion,Bachelors,49500,69000,71%
720,Social Studies Teacher Education,Bachelors,50900,69000,62%
722,Athletic Training,Bachelors,49100,68900,75%
722,Pastoral Ministry,Bachelors,45800,68900,75%
724,Communication Sciences & Disorders,Bachelors,52000,68700,74%
725,Speech & Hearing,Bachelors,53200,68600,70%
726,Sculpture,Bachelors,46000,68200,49%
727,Church Ministries,Bachelors,43300,67400,80%
728,Biblical Studies,Bachelors,48400,67300,69%
729,Horticulture & Agronomy,Bachelors,60700,67200,-
730,Bible Studies & Theology,Bachelors,46300,67000,68%
731,Human Development & Family Studies,Bachelors,47000,66400,64%
732,Family Studies,Bachelors,46300,66100,59%
732,Legal Assistant Studies,Bachelors,43300,66100,39%
734,Christian Ministry,Bachelors,44300,65200,75%
735,Health and Human Services,Bachelors,50600,65100,65%
735,Voice & Opera,Bachelors,39600,65100,52%
737,Home Economics,Bachelors,49200,65000,69%
737,Special Education,Bachelors,48400,65000,74%
739,Music Therapy,Bachelors,49400,64900,95%
740,Rehabilitation Services,Bachelors,43600,64700,76%
741,Developmental Psychology,Bachelors,44200,63700,-
741,Youth Ministry,Bachelors,44000,63700,76%
743,Educational Psychology,Bachelors,48100,63600,-
744,Community & Human Services,Bachelors,49500,63200,79%
744,Therapeutic Recreation,Bachelors,46700,63200,83%
746,Social Work (SW),Bachelors,45000,63000,77%
747,Elementary Education,Bachelors,47300,62500,68%
748,Office Administration,Bachelors,45600,62300,68%
749,Christian Education,Bachelors,47200,62200,84%
750,Human Services (HS),Bachelors,45800,61400,71%
751,Child Development,Bachelors,43400,60400,74%
752,Middle School Education,Bachelors,49900,60200,76%
753,Recreational Therapy,Bachelors,45700,58900,82%
754,Early Childhood & Elementary Education,Bachelors,44900,58000,77%
755,Outdoor Education,Bachelors,43400,56900,47%
756,Baking & Pastry Arts,Bachelors,43700,56500,38%
757,Child & Family Studies,Bachelors,42900,55300,73%
758,Mental Health,Bachelors,44100,54500,79%
759,Equine Studies,Bachelors,42300,54100,50%
760,Nonprofit Administration,Bachelors,43900,53700,73%
761,Addictions Counseling,Bachelors,47300,52400,78%
762,Early Childhood Education,Bachelors,43400,52200,78%
763,Metalsmithing,Bachelors,45900,46600,36%
